lobby_institutionnel,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=pqqRJN8HjWE,2020-09-08,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Et si on en parlait : Le bien-être des vaches laitières.
CNIEL,CNIEL,@lescereales | @lesproduitslaitiers,https://www.youtube.com/watch?v=Al2y08OAaJ8,2020-05-06,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Eh mais y a quoi dans le lait en fait ?
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ZYunQ4CjcvA,2020-05-06,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Milk Check : C'est vrai que les vaches polluent ?
CNIEL,CNIEL,@lescereales | @lesproduitslaitiers,https://www.youtube.com/watch?v=MVp2RkzLBpA,2020-05-06,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Et si on en parlait : La qualité du lait.
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=58nY2sZc-1A,2020-05-06,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Milk Check : Y'a quoi dans le lait ?
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=m5nsAxcjYZo,2020-05-06,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Et si on en parlait : C'est quoi une ferme laitière en France ?
CNIEL,CNIEL,@lesproduitslaitiers | Myriam met du beurre dans tes epinards,https://www.youtube.com/watch?v=nLXBWwZ1vxI,2019-08-23,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.5 pâtes au saumon amélioré (avec Sido Cuisto)
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=vayWBJrDUvY,2019-07-26,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"L’AOP & Curious : Morgan VS, Youtubeur"
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=5VUwyebsRb4,2019-07-26,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"L’AOP & Curious : Francis Poineaux, berger au Pays Basque, producteur de fromages en Ossau-iraty"
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=i_Z0BfN99H4,2019-07-26,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"L’AOP & Curious - Eric Chevalier, fabricant et affineur de fromages en Franche Comté"
CNIEL,CNIEL,Myriam met du beurre dans tes epinards,https://www.youtube.com/watch?v=VlDt3FBercE,2019-05-22,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.4 Croque-monsieurs amélioré
