commanditaire,type_de_commanditaire,secteur,groupe_parent,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,nature_de_la_ligne,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=H0x_Cdhk_5o,2020-10-22,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"KIKESA, Seth Gueko, 47Ter, Matou, P.Prod & Haristone #CheckFood"
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=CHpCoxV8PvA,2020-03-11,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Mister V et le MQEEBD #CheckFood
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | Societe,https://www.youtube.com/watch?v=4Hlmi8kDjeE,2019-12-25,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Alkpote, Caballero & JeanJass, Seb et Mehdi Maïzi + guests #CheckFood"
CNIEL,interprofession,,,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=VfY04ENfC3w,2019-11-15,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Alkpote & Philippe Katerine #CheckFood
CNIEL,interprofession,,,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=EpzHxNBOcrs,2019-09-20,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Alkpote & Roi Heenok #CheckFood
CNIEL,interprofession,,,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=uXKO48o9DAI,2019-03-28,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Alkpote & Jok'air #CheckFood
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | Societe,https://www.youtube.com/watch?v=38vtxSjzi9Y,2019-03-07,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Gaëlle Garcia Diaz & KIKESA #CheckFood
CNIEL,interprofession,,,CNIEL,"@lesproduitslaitiers | Les produits laitiers, nos amis pour la vie | Societe",https://www.youtube.com/watch?v=Yc4r1SzVb4Y,2019-02-08,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Gaëlle Garcia Diaz & Alkpote #CheckFood
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=BGMMg41mqKY,2023-02-15,,ancien,Studio Danielle,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,LE TOUR DE LA GRATTE À MARSEILLE
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | En Mode Actif,https://www.youtube.com/watch?v=mLZEJLHeJYI,2023-01-02,,ancien,Studio Danielle,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Danielle piégée pendant 6 mois (feat Joyca, Jimmy Labeeu, GMK, Momo Henni)"
